"gene_id","hugo_symbol","entrez_gene_id","mean_classical_expression","mean_proneural_expression","classical_sample_count","proneural_sample_count","log2_fold_change","expression_direction"
"3385","JPH1","56704","162.46153846","55.13793103","39","29","1.54190341873415","Higher in Classical"
"3236","IL5RA","3568","0.28205128","2.72413793","39","29","-1.5384525380309695","Higher in Proneural"
"506","ARSF","416","299.89743590","103.00000000","39","29","1.5326882844197163","Higher in Classical"
"2894","GZMB","3002","37.00000000","12.27586207","39","29","1.517193872876666","Higher in Classical"
"4738","NUP107","57122","1480.61538462","4233.61724138","39","29","-1.5150605888449118","Higher in Proneural"
"5915","REM1","28954","17.30769231","51.20689655","39","29","-1.5117904494606145","Higher in Proneural"
"7855","WNK2","65268","264.12512821","754.34068966","39","29","-1.5104540925033387","Higher in Proneural"
"1178","CDH16","1014","0.10256410","2.13793103","39","29","-1.508951110523882","Higher in Proneural"
"184","ADCY5","111","204.05128205","582.55172414","39","29","-1.5088757735184328","Higher in Proneural"
"1123","CD22","933","46.41025641","133.48275862","39","29","-1.5041501229685403","Higher in Proneural"
"6245","SEC14L5","9717","110.76923077","315.41379310","39","29","-1.5012894113706579","Higher in Proneural"
"669","BCL11B","64919","66.74358974","190.75862069","39","29","-1.501135094372064","Higher in Proneural"
"1371","CLEC3A","10143","5.05128205","1.13793103","39","29","1.5010255179598453","Higher in Classical"
"3431","KCNH8","131096","119.25641026","339.06896552","39","29","-1.4997135538026687","Higher in Proneural"
"6458","SLC1A6","6511","23.15384615","66.93103448","39","29","-1.4918178886384523","Higher in Proneural"
"3718","LAMA2","3908","2245.72717949","798.14206897","39","29","1.4913010395546458","Higher in Classical"
"5572","PPP1R16B","26051","487.94871795","1368.24137931","39","29","-1.4856217321472662","Higher in Proneural"
"3315","IRX6","79190","1.82051282","6.89655172","39","29","-1.4852652978134466","Higher in Proneural"
"5980","RIN1","9610","965.56410256","345.93103448","39","29","1.4782165134855494","Higher in Classical"
"1563","CRTAC1","55118","180.97358974","504.70965517","39","29","-1.474580239267968","Higher in Proneural"
"5498","PODNL1","79883","158.76923077","56.72413793","39","29","1.4687429653134825","Higher in Classical"
"5188","PCDHGA10","56106","487.82666667","1349.15827586","39","29","-1.4657336460180102","Higher in Proneural"
"6221","SCN9A","6335","82.12974359","228.35034483","39","29","-1.4641164097941157","Higher in Proneural"
"6653","SMCP","4184","0.10256410","2.03448276","39","29","-1.4605880916801282","Higher in Proneural"
"1440","CNTNAP5","129684","29.58974359","83.17241379","39","29","-1.4602994757565082","Higher in Proneural"
"5230","PDE10A","10846","131.94871795","364.27586207","39","29","-1.4581165565045813","Higher in Proneural"
"1439","CNTNAP4","85445","151.43589744","417.44827586","39","29","-1.4568466170938577","Higher in Proneural"
"2790","GPR179","440435","27.89743590","78.24137931","39","29","-1.455312506074982","Higher in Proneural"
"6795","SPOCK3","50859","327.20512821","898.82758621","39","29","-1.4550508154498196","Higher in Proneural"
"3445","KCNK3","3777","124.00000000","340.86206897","39","29","-1.45148626369805","Higher in Proneural"
"3789","LGR5","8549","79.94871795","219.89655172","39","29","-1.448290761147902","Higher in Proneural"
"5189","PCDHGA11","56105","504.39512821","185.08103448","39","29","1.4414807350763472","Higher in Classical"
"4794","ONECUT2","9480","132.15384615","358.27586207","39","29","-1.4319979097948086","Higher in Proneural"
"3140","IDO1","3620","80.82051282","29.51724138","39","29","1.4228380245324346","Higher in Classical"
"2954","HECW1","23072","87.83743590","236.95896552","39","29","-1.4214731532464142","Higher in Proneural"
"4769","OBSCN","84033","113.26358974","304.79275862","39","29","-1.4201884832096303","Higher in Proneural"
